PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
107,0,3,"Kang, Mr. Hyun",male,,0,0,T105394,6.4292,,S
108,1,1,"Park, Mrs. Hana",female,31.5,3,3,T374195,54.6534,,S
109,1,3,"Choi, Mrs. Yuna",female,31.5,0,0,T405709,3.708,,S
110,0,3,"Lee, Mr. Junho",male,13.5,0,0,T642783,16.7031,C114,S
111,0,3,"Lee, Mr. Taeyang",male,7.2,0,0,T940445,33.5384,,S
112,0,1,"Yoon, Mr. Hyun",male,53.4,0,1,T508641,5.0607,,C
113,0,2,"Lee, Mr. Hyun",male,,0,0,T391316,23.5342,,S
114,0,2,"Jung, Mr. Jiho",male,17,0,1,T876105,0.8302,,S
115,1,3,"Jeon, Miss. Sora",female,36.7,0,2,T414614,17.7507,D22,S
116,1,3,"Lee, Miss. Sora",female,8.4,2,0,T808451,19.2241,,S
117,0,3,"Oh, Mr. Woojin",male,48.4,0,0,T902820,9.4851,D113,C
118,1,2,"Kim, Mr. Hyun",male,49.4,0,0,T572249,32.19,,S
119,0,3,"Lee, Mr. Daniel",male,15.2,0,0,T545988,13.0155,,S
120,1,2,"Kang, Mr. Daniel",male,40.9,4,0,T167722,7.48,E9,C
121,0,3,"Kang, Mr. Jiho",male,,0,3,T498566,11.5924,,S
122,1,3,"Seo, Miss. Seoyeon",female,37.6,0,1,T392993,2.5375,,S
123,0,3,"Lim, Mr. Woojin",male,29.4,0,0,T147835,24.8468,,C
124,1,1,"Shin, Mrs. Hana",female,27.5,0,0,T874052,88.3933,B6,S
125,0,3,"Ahn, Mr. Jiho",male,21.7,3,0,T438607,11.384,,Q
126,1,2,"Shin, Miss. Eunbi",female,43.1,0,0,T363922,28.2807,,S
127,0,3,"Ryu, Mr. Woojin",male,,0,0,T666830,12.6664,,S
128,1,2,"Jeon, Mr. Minsu",male,,3,0,T432233,13.2081,F35,S
129,0,1,"Lee, Mr. Hyun",male,46.7,0,0,T541969,4.1522,A37,S
130,1,3,"Ko, Miss. Sora",female,,0,0,T454486,15.561,,Q
131,0,3,"Lim, Mr. Junho",male,41.4,0,0,T946871,13.5201,,C
132,1,3,"Oh, Mr. Woojin",male,29.4,0,3,T715560,20.1401,,S
133,0,2,"Park, Mr. Hyun",male,0.5,0,2,T128736,13.7082,,S
134,0,3,"Ryu, Mr. Woojin",male,,0,2,T967650,14.0721,B37,S
135,1,3,"Kim, Mr. Woojin",male,25.1,1,2,T979183,7.1605,B125,Q
136,0,2,"Kim, Mr. Sungmin",male,24.6,0,0,T561361,7.9545,,C
137,0,3,"Choi, Mr. Minsu",male,34.4,0,1,T635886,2.2511,,Q
138,1,3,"Kang, Mr. Taeyang",male,,0,0,T225273,27.9188,,C
139,1,3,"Song, Mrs. Seoyeon",female,39.7,0,0,T537413,12.4762,,S
140,0,3,"Ko, Mr. Daniel",male,21.6,0,0,T123027,13.7284,,S
141,0,1,"Kim, Mr. Minsu",male,22.4,0,0,T990083,101.3924,,S
142,1,3,"Choi, Miss. Hana",female,17.8,4,0,T287642,1.1159,C73,S
143,0,2,"Kang, Mr. Sungmin",male,42.5,2,0,T784898,15.1279,,C
144,0,3,"Song, Mr. Minsu",male,18.7,0,2,T653356,13.3469,F18,S
145,0,3,"Han, Mr. Daniel",male,,0,0,T608139,13.2222,B122,Q
146,1,3,"Lim, Miss. Chaewon",female,29.4,0,1,T298182,5.8292,,S
147,1,1,"Kim, Mr. Hyun",male,55.8,1,3,T545007,93.8054,,S
148,0,2,"Park, Mr. Hyun",male,33.3,0,0,T906331,46.0259,,S
149,0,1,"Kim, Mr. Minsu",male,48.2,0,0,T399632,102.4573,,S
150,0,3,"Ahn, Mr. Sungmin",male,58.8,0,0,T547641,6.7212,,S
151,1,3,"Oh, Mrs. Yuna",female,29.4,3,2,T834223,7.5184,E86,C
152,1,3,"Shin, Miss. Jiwoo",female,,4,2,T980444,22.0981,F70,S
153,0,3,"Song, Mr. Minsu",male,14.5,1,0,T838450,11.1421,C101,S
154,0,3,"Ahn, Mr. Taeyang",male,10.3,0,0,T595876,25.314,A127,S
155,0,3,"Yoon, Mr. Jiho",male,36.2,1,0,T281829,24.3471,D15,S
156,1,1,"Jeon, Mrs. Chaewon",female,42.5,0,0,T637194,17.5793,,S
157,1,1,"Kang, Mrs. Yuna",female,,0,0,T619733,93.0304,A46,C
158,0,2,"Lim, Mr. Woojin",male,22.8,0,0,T529938,20.7925,,S
159,1,1,"Jeon, Miss. Sora",female,34.6,0,0,T699090,153.2866,,S
160,1,3,"Lee, Mrs. Chaewon",female,0.5,1,1,T510516,12.2769,,S
161,0,2,"Yoon, Mr. Minsu",male,32.4,0,0,T859305,21.6658,,S
162,0,2,"Ko, Mr. Jiho",male,12.9,0,0,T769070,25.9254,,S
163,0,3,"Ryu, Miss. Hana",female,,0,0,T765397,1.9955,,S
164,1,3,"Oh, Mr. Junho",male,4.3,0,0,T233098,11.9584,A17,S
165,1,1,"Seo, Miss. Chaewon",female,,0,0,T635560,104.4888,,Q
166,0,2,"Choi, Mr. Taeyang",male,39.2,0,0,T343990,35.5797,,S
167,1,3,"Kim, Mr. Minsu",male,55.7,4,0,T589753,21.2864,,S
168,0,1,"Yoon, Mr. Jiho",male,22.7,3,0,T961515,58.4691,,S
169,0,3,"Jeon, Mr. Taeyang",male,31,0,3,T365446,18.2276,,S
170,1,3,"Song, Mr. Junho",male,12,0,0,T922284,28.8826,,C
171,0,3,"Ryu, Mr. Minsu",male,,0,0,T592831,16.2428,,S
172,0,1,"Jung, Mr. Woojin",male,51.6,0,0,T972683,15.3413,,S
173,0,2,"Kim, Miss. Yuna",female,8.4,1,0,T127206,11.2103,,S
174,0,1,"Lee, Mr. Junho",male,46.4,0,0,T245770,24.4374,,S
175,1,3,"Jeon, Mrs. Minji",female,36.8,0,0,T943026,0.2432,,S
176,1,2,"Lim, Miss. Hana",female,,3,0,T385414,14.0325,,S
177,0,3,"Lim, Mr. Sungmin",male,37,0,0,T396193,13.999,,S
178,0,3,"Song, Miss. Jiwoo",female,,0,0,T927346,16.8924,C133,S
179,1,2,"Yoon, Mr. Junho",male,25.5,1,0,T813925,36.1121,,Q
180,1,1,"Shin, Mrs. Sora",female,27.6,0,0,T582296,224.0705,A14,S
181,0,3,"Lee, Mr. Jiho",male,34.7,0,0,T267491,26.9559,A0,C
182,1,3,"Jung, Mr. Jiho",male,8,0,0,T908968,0.3553,,S
183,0,1,"Kwon, Mr. Daniel",male,51.3,0,3,T354249,120.3007,F139,Q
184,0,1,"Kwon, Mr. Woojin",male,13.5,4,0,T749840,61.4893,,S
185,0,3,"Ahn, Mr. Taeyang",male,36.4,2,0,T760816,20.1308,A105,S
186,1,3,"Kwon, Miss. Minji",female,31.1,0,0,T211353,0.2567,D138,S
187,1,3,"Ko, Mrs. Chaewon",female,11.9,0,2,T313308,17.3674,D109,S
188,0,3,"Kim, Mr. Daniel",male,,2,0,T176626,17.8819,,C
189,0,3,"Lee, Mr. Jiho",male,39.7,0,0,T150751,9.837,,S
190,0,2,"Hwang, Mr. Daniel",male,10.1,0,0,T490478,35.2509,D138,S
191,0,2,"Lee, Mr. Minsu",male,21.2,0,0,T963388,23.1253,,Q
192,1,1,"Han, Mrs. Seoyeon",female,11.8,3,0,T178417,95.1007,,Q
193,0,3,"Choi, Mr. Hyun",male,12.4,1,0,T821320,9.9324,F79,S
194,0,3,"Shin, Mr. Junho",male,36.5,0,0,T528849,28.0776,E132,S
195,0,2,"Shin, Mr. Woojin",male,,0,1,T757755,3.7264,E18,S
196,0,3,"Choi, Mrs. Eunbi",female,6.8,2,3,T100359,13.441,,S
197,0,3,"Han, Mr. Minsu",male,49.4,0,2,T321598,0.7689,,S
198,0,3,"Seo, Mr. Junho",male,5.6,0,3,T535599,19.1254,B115,S
199,0,3,"Ko, Mr. Sungmin",male,48,3,0,T298299,17.2505,,Q
200,0,1,"Oh, Mr. Jiho",male,9.2,1,0,T457953,101.9801,,S
201,0,2,"Han, Mr. Junho",male,50.4,2,0,T535595,41.2517,D116,S
202,1,1,"Park, Mrs. Minji",female,35.5,0,2,T805766,129.9056,,S
203,0,3,"Lim, Mrs. Minji",female,10.2,0,3,T226705,10.9737,,S
204,0,2,"Park, Miss. Eunbi",female,,0,2,T378713,6.2673,,S
205,0,3,"Ryu, Miss. Hana",female,42.3,0,0,T946746,20.9151,,S
206,1,1,"Jeon, Miss. Hana",female,17.7,0,3,T190880,94.1817,,C
207,0,3,"Hwang, Miss. Seoyeon",female,42.5,2,0,T857289,0.1276,,Q
208,0,3,"Kang, Mr. Taeyang",male,22.6,0,0,T900873,12.4768,,S
209,1,3,"Kwon, Miss. Hana",female,32.4,0,0,T466035,24.4341,,S
210,0,2,"Seo, Mr. Junho",male,24.5,0,0,T942718,6.2815,,S
211,0,3,"Kang, Mr. Woojin",male,,0,1,T943994,22.0115,,S
212,0,3,"Han, Mr. Woojin",male,31.4,0,0,T481589,27.2562,,C
213,1,1,"Choi, Mrs. Eunbi",female,32.3,4,2,T281064,136.1403,,S
214,1,2,"Park, Miss. Jiwoo",female,36.7,0,2,T985087,23.1459,,S
215,0,3,"Seo, Mr. Woojin",male,28.2,0,0,T785162,4.6774,,S
216,0,3,"Shin, Mr. Jiho",male,,0,0,T698236,11.6126,,S
217,0,3,"Ahn, Mr. Sungmin",male,18,0,0,T881851,21.5975,,S
218,1,3,"Ahn, Miss. Hana",female,12,1,0,T814912,28.7947,,S
219,1,1,"Hong, Mrs. Seoyeon",female,54,2,0,T574852,89.4181,,S
220,0,3,"Seo, Mr. Woojin",male,40.2,2,0,T477406,28.2116,F34,S
221,1,3,"Park, Miss. Yuna",female,31.8,2,0,T416053,18.089,,C
222,0,2,"Kang, Mr. Daniel",male,33.2,0,0,T640806,22.4433,,S
223,0,3,"Kwon, Mr. Minsu",male,,0,0,T615928,0.3772,,Q
224,0,2,"Kang, Mr. Woojin",male,37.8,4,3,T149886,19.4425,,S
225,0,3,"Choi, Mr. Junho",male,28.5,0,0,T182387,7.8571,A128,S
226,0,1,"Kim, Mr. Minsu",male,43.4,0,0,T815323,44.2253,,C
227,0,3,"Lee, Mr. Jiho",male,18.8,0,2,T612276,14.3715,,Q
228,1,3,"Seo, Mrs. Hana",female,,4,0,T667834,0.41,,C
229,0,3,"Choi, Mrs. Chaewon",female,,0,3,T471534,12.0247,,C
230,1,1,"Song, Mr. Sungmin",male,20.6,3,1,T839337,110.7213,E97,Q
231,1,3,"Hwang, Mrs. Eunbi",female,53.5,0,0,T734652,4.8096,,C
232,0,2,"Jeon, Mr. Daniel",male,44.9,2,2,T967301,5.1927,,S
233,0,1,"Jeon, Mr. Taeyang",male,18.2,0,0,T697561,66.9524,,S
234,0,3,"Ryu, Mr. Daniel",male,32.3,0,0,T309050,16.7665,,C
235,0,3,"Hwang, Mr. Minsu",male,47.7,0,2,T119546,30.251,,S
236,0,3,"Park, Mr. Minsu",male,27,0,2,T839571,6.349,,S
237,0,3,"Ryu, Mr. Woojin",male,18.4,0,3,T281738,25.8403,B21,S
238,0,3,"Lim, Mr. Minsu",male,23.4,0,0,T103277,9.3285,,S
239,1,3,"Kang, Mr. Jiho",male,29.3,0,0,T939803,8.7849,D123,S
240,0,1,"Ahn, Mr. Minsu",male,19,1,0,T697933,118.087,,S
241,0,3,"Shin, Mr. Junho",male,8.9,0,1,T113394,14.5613,,C
242,0,3,"Shin, Miss. Minji",female,,0,1,T321723,2.7506,,S
243,0,3,"Ryu, Mr. Junho",male,20.8,0,0,T867510,29.1727,,S
244,1,2,"Oh, Miss. Yuna",female,49.6,2,0,T385166,34.3782,,S
245,0,3,"Lee, Mr. Hyun",male,15,0,0,T750212,12.3076,,S
246,0,3,"Hong, Mr. Junho",male,28.9,4,0,T761955,14.0835,,C
247,1,1,"Ryu, Mrs. Hana",female,29.4,0,2,T548848,139.3661,,C
248,0,2,"Seo, Mr. Junho",male,22.4,2,1,T486703,33.039,D134,S
249,0,3,"Song, Mr. Sungmin",male,,0,3,T531388,28.6965,F8,S
250,0,2,"Kang, Miss. Sora",female,31.8,0,0,T431492,7.8054,,C
251,0,3,"Seo, Mr. Sungmin",male,42.5,0,0,T758912,37.9485,,S
252,1,3,"Lim, Mrs. Sora",female,22.2,0,0,T966680,24.5039,F120,S
253,0,3,"Hwang, Mrs. Sora",female,32.1,2,3,T273243,16.9309,A64,C
254,1,3,"Song, Mrs. Hana",female,33.9,0,0,T294358,22.3526,,S
255,0,2,"Oh, Mr. Junho",male,20.1,0,1,T548564,32.3076,,S
256,0,2,"Hong, Mr. Daniel",male,0.5,0,0,T569941,29.5725,,C
257,1,3,"Yoon, Mr. Jiho",male,41.3,0,0,T115370,9.8907,,S
258,0,1,"Lee, Mrs. Eunbi",female,,0,0,T857334,110.0107,,C
259,0,3,"Jeon, Mr. Sungmin",male,33.3,0,1,T889346,26.373,,S
260,0,2,"Yoon, Mr. Woojin",male,46.3,0,0,T901251,15.4611,,S
261,1,2,"Kim, Mrs. Eunbi",female,,0,0,T426482,47.6873,C117,S
262,0,3,"Ko, Mr. Junho",male,44.1,2,2,T701799,15.6564,,S
263,0,2,"Kim, Mr. Taeyang",male,41.2,0,3,T271033,25.982,,Q
264,0,1,"Han, Mr. Taeyang",male,47.5,4,0,T170044,58.1942,,S
265,1,3,"Lim, Miss. Hana",female,,0,0,T876765,21.2556,D26,S
266,0,3,"Song, Mr. Minsu",male,17.5,0,3,T440099,24.9837,,C
267,0,3,"Song, Mrs. Minji",female,,0,0,T430650,1.4875,,S
268,0,2,"Jeon, Mr. Jiho",male,31.1,0,0,T500876,9.9744,,S
269,1,1,"Han, Mrs. Minji",female,30.1,0,0,T346243,156.6727,B29,S
270,1,3,"Kwon, Mrs. Sora",female,31.7,0,0,T613291,9.7218,E37,S
271,1,3,"Yoon, Mrs. Jiwoo",female,23.4,0,1,T756962,0.9909,,S
272,1,3,"Park, Mrs. Chaewon",female,49.4,0,0,T746424,6.1973,,S
273,0,1,"Lim, Mr. Daniel",male,26.5,4,0,T690773,54.8388,,S
274,1,3,"Jeon, Mr. Daniel",male,16.9,2,0,T766744,12.5827,,S
275,1,3,"Park, Mrs. Chaewon",female,0.9,1,3,T688259,19.1834,,S
276,1,3,"Ryu, Miss. Chaewon",female,,0,0,T574182,15.792,,S
277,1,1,"Kwon, Mr. Junho",male,43.8,0,2,T711981,187.1228,,C
278,0,3,"Hong, Mr. Minsu",male,6.6,1,0,T797363,30.486,,S
279,1,1,"Song, Miss. Sora",female,33.3,0,0,T533049,25.5868,,S
280,0,3,"Ahn, Mr. Hyun",male,30.4,0,1,T217476,17.7543,,Q
281,0,3,"Shin, Mr. Woojin",male,6.2,1,0,T280927,22.4265,,S
282,0,3,"Choi, Mr. Taeyang",male,11,0,1,T159586,14.0227,,S
283,1,3,"Lim, Mrs. Hana",female,,0,0,T977457,6.4752,,S
284,1,3,"Song, Mr. Minsu",male,28.8,3,0,T448210,39.645,,S
285,0,3,"Hwang, Mr. Minsu",male,,0,0,T796515,3.9215,F50,S
286,0,3,"Seo, Mr. Hyun",male,38.1,0,1,T875562,22.382,,S
287,1,3,"Shin, Mrs. Jiwoo",female,,1,2,T563833,11.4798,,S
288,0,3,"Jeon, Miss. Seoyeon",female,25.1,0,0,T616018,27.6481,,S
289,0,2,"Seo, Mr. Woojin",male,50.7,0,0,T611802,18.1404,B52,S
290,1,1,"Yoon, Miss. Minji",female,13,3,0,T919242,119.0786,,C
291,1,2,"Lee, Miss. Sora",female,0.5,0,0,T551745,8.7715,E4,S
292,1,2,"Kang, Mrs. Minji",female,,3,0,T611563,30.7615,,S
293,0,2,"Kang, Mr. Daniel",male,,2,0,T430136,4.286,C18,S
294,0,3,"Kang, Mr. Woojin",male,,0,0,T907610,5.5707,,Q
295,1,3,"Hwang, Miss. Hana",female,33.3,0,0,T752465,12.5435,,S
296,0,3,"Jung, Mr. Hyun",male,,0,0,T909010,8.6387,C130,S
297,0,1,"Hwang, Mr. Woojin",male,19.9,3,0,T617097,9.3497,,C
298,1,3,"Park, Mr. Taeyang",male,11.5,0,0,T361563,15.7901,E105,S
299,1,3,"Shin, Mrs. Seoyeon",female,18.7,0,0,T696705,11.1561,,S
300,0,3,"Oh, Mr. Daniel",male,42.7,3,2,T429389,15.3969,A43,C
301,0,3,"Kang, Mr. Minsu",male,31.7,0,0,T127156,4.1711,,S
302,1,3,"Kim, Miss. Hana",female,14.3,0,1,T980726,26.4292,,S
303,1,3,"Kang, Mr. Jiho",male,,0,0,T400989,17.3704,F86,S
304,0,1,"Ko, Mr. Minsu",male,,1,0,T935540,23.1845,,S
305,1,3,"Hong, Miss. Jiwoo",female,12.5,0,0,T612415,6.4987,,S
306,1,1,"Song, Miss. Yuna",female,23.3,0,0,T427046,5.5309,,S
307,0,3,"Hwang, Mr. Junho",male,27.9,0,0,T530254,12.3607,,S
308,0,1,"Hwang, Mr. Jiho",male,43.9,2,1,T832808,193.6531,,S
309,1,2,"Park, Mr. Junho",male,49.8,0,0,T509028,33.9294,E0,Q
310,1,3,"Jeon, Mr. Woojin",male,18.2,0,2,T401817,7.5502,,S
311,1,3,"Ahn, Mrs. Jiwoo",female,41.3,0,0,T116193,19.1173,,S
312,0,2,"Han, Mr. Sungmin",male,19.8,0,3,T579425,14.2368,,S
313,1,3,"Seo, Mrs. Minji",female,24.2,4,0,T946270,15.7699,,S
314,0,1,"Song, Mr. Daniel",male,15.8,0,1,T958191,38.2617,,Q
315,0,3,"Oh, Mr. Jiho",male,43.5,0,0,T378015,23.3163,,S
316,0,3,"Kwon, Mr. Minsu",male,,0,0,T677975,37.2877,,S
317,0,2,"Lee, Mr. Sungmin",male,,0,0,T466902,27.8303,,S
318,1,1,"Song, Mrs. Hana",female,22.9,0,0,T967360,105.3694,,S
319,0,3,"Jeon, Mr. Woojin",male,0.5,3,0,T969614,31.2055,,S
320,0,3,"Lim, Mr. Minsu",male,,1,0,T315939,10.5945,F133,S
321,0,2,"Kwon, Miss. Seoyeon",female,23.2,2,0,T943639,4.2507,,S
322,0,1,"Kang, Mr. Sungmin",male,31.6,0,0,T287540,50.1406,D26,S
323,1,3,"Jung, Mrs. Seoyeon",female,10.4,3,0,T308546,23.5849,,C
324,0,3,"Hwang, Mr. Daniel",male,47.1,0,0,T174141,8.8485,,S
325,0,3,"Ryu, Mr. Woojin",male,,1,0,T950797,0.1184,,S
326,1,2,"Lee, Mr. Jiho",male,,0,2,T260060,19.1132,,S
327,0,2,"Choi, Mr. Junho",male,35.2,0,0,T518931,5.3237,,S
328,0,3,"Yoon, Mr. Sungmin",male,58,0,0,T480714,10.772,,Q
329,1,3,"Hong, Mrs. Minji",female,26.4,0,0,T118248,17.5748,,S
